headword_lang,head,pos,additional_pos,trans(no paren),trans(with paren),original_html
German,U-Ausschuss,Noun,"Â m â€_(genitive U-Ausschusses, plural U-AusschÃ_sse)",Short for Untersuchungsausschuss ," Short for Untersuchungsausschuss (board of enquiry, investigation committee)","<li id=""mwDQ""> <span class=""use-with-mention"" id=""mwDg"">Short for <i class=""Latn mention"" lang=""de""><a href=""Untersuchungsausschuss.html"" title=""Untersuchungsausschuss"">Untersuchungsausschuss</a></i></span> <span class=""gloss-brac"" id=""mwEA"">(</span><span class=""gloss-content"">board of enquiry, <a href=""investigation.html"" title=""investigation"">investigation</a> <a href=""committee.html"" title=""committee"">committee</a></span><span class=""gloss-brac"" id=""mwEQ"">)</span></li>"
German,U-Ausschuss,Hypernyms,,Ausschuss, Ausschuss,"<li id=""mwEw""> <span class=""Latn"" id=""mwFA"" lang=""de""><a href=""Ausschuss.html"" title=""Ausschuss"">Ausschuss</a></span></li>"
German,U-Ausschuss,Hyponyms,,Hypo-U-Ausschuss, Hypo-U-Ausschuss,"<li id=""mwFg""> <span class=""Latn"" id=""mwFw"" lang=""de"">Hypo-U-Ausschuss</span></li>"
German,U-Ausschuss,References,, U-Ausschuss on  Wikipedia.Wikipedia ,  U-Ausschuss on  Wikipedia.Wikipedia ,"<li id=""mwGg""> <span> </span><b class=""Latn"" lang=""en""><a class=""external"" href=""https://en.wikipedia.org/wiki/U-Ausschuss"" title=""w:U-Ausschuss"">U-Ausschuss</a></b><span> on  Wikipedia.</span><span class=""interProject"" id=""mwHA""><a class=""external"" href=""https://en.wikipedia.org/wiki/U-Ausschuss"" title=""w:U-Ausschuss"">Wikipedia </a></span></li>"
German,U-Ausschuss,External links,,U-Ausschuss in Duden online, U-Ausschuss in Duden online,"<li id=""mwHg""> <a class=""external"" href=""http://www.duden.de/rechtschreibung/U_Ausschuss"" id=""mwHw"">U-Ausschuss</a><span> in </span><i>Duden</i><span> online</span></li>"
German,U-Ausschusse,Alternative forms,,U-Ausschuss, U-Ausschuss,"<li id=""mwAw""> <span class=""Latn"" id=""mwBA"" lang=""de""><a href=""U-Ausschuss.html"" title=""U-Ausschuss"">U-Ausschuss</a></span></li>"
German,U-Ausschusse,Pronunciation,,"IPA: /ËˆuËêËŒÊ”aÊ_Ì¯sÊƒÊ_sÉ™/,  Hyphenation: U-Ausâ€§schusâ€§se"," IPA(key): /ËˆuËêËŒÊ”aÊ_Ì¯sÊƒÊ_sÉ™/,  Hyphenation: U-Ausâ€§schusâ€§se","<li id=""mwBg""> IPA<sup>(key)</sup><span>:</span><span> </span><span class=""IPA"" lang="""">/ËˆuËêËŒÊ”aÊ_Ì¯sÊƒÊ_sÉ™/</span></li>, <li id=""mwCQ""> <span id=""mwCg"">Hyphenation: </span><span class=""Latn"" id=""mwCw"" lang=""de"">U-Ausâ€§schusâ€§se</span></li>"
German,U-Ausschusse,Noun,Â m,dative singular of U-Ausschuss, dative singular of U-Ausschuss,"<li id=""mwEA""> <span class=""form-of-definition"" id=""mwEQ"">dative singular of <span class=""form-of-definition-link""><i class=""Latn mention"" lang=""de""><a href=""U-Ausschuss.html"" title=""U-Ausschuss"">U-Ausschuss</a></i></span></span></li>"
German,U-Ausschusses,Pronunciation,,"IPA: /ËˆuËêËŒÊ”aÊ_Ì¯sÊƒÊ_sÉ™s/,  Hyphenation: U-Ausâ€§schusâ€§ses"," IPA(key): /ËˆuËêËŒÊ”aÊ_Ì¯sÊƒÊ_sÉ™s/,  Hyphenation: U-Ausâ€§schusâ€§ses","<li id=""mwAg""> IPA<sup>(key)</sup><span>:</span><span> </span><span class=""IPA"" lang="""">/ËˆuËêËŒÊ”aÊ_Ì¯sÊƒÊ_sÉ™s/</span></li>, <li id=""mwBQ""> <span id=""mwBg"">Hyphenation: </span><span class=""Latn"" id=""mwBw"" lang=""de"">U-Ausâ€§schusâ€§ses</span></li>"
German,U-Ausschusses,Noun,Â m,genitive singular of U-Ausschuss, genitive singular of U-Ausschuss,"<li id=""mwDA""> <span class=""form-of-definition"" id=""mwDQ"">genitive singular of <span class=""form-of-definition-link""><i class=""Latn mention"" lang=""de""><a href=""U-Ausschuss.html"" title=""U-Ausschuss"">U-Ausschuss</a></i></span></span></li>"
German,U-AusschuÃŸ,Noun,,Formerly standard spelling of U-Ausschuss which was deprecated in the spelling reform  of 1996., Formerly standard spelling of U-Ausschuss which was deprecated in the spelling reform (Rechtschreibreform) of 1996.,"<li id=""mwBg""> <span class=""use-with-mention"" id=""mwBw"">Formerly standard spelling of <i class=""Latn mention"" lang=""de""><a href=""U-Ausschuss.html"" title=""U-Ausschuss"">U-Ausschuss</a></i> which was deprecated in the spelling reform (<i>Rechtschreibreform</i>) of 1996.</span></li>"
German,U-AusschÃ_sse,Pronunciation,,"IPA: /ËˆuËêËŒÊ”aÊ_Ì¯sÊƒÊèsÉ™/,  Hyphenation: U-Ausâ€§schÃ_sâ€§se"," IPA(key): /ËˆuËêËŒÊ”aÊ_Ì¯sÊƒÊèsÉ™/,  Hyphenation: U-Ausâ€§schÃ_sâ€§se","<li id=""mwAw""> IPA<sup>(key)</sup><span>:</span><span> </span><span class=""IPA"" lang="""">/ËˆuËêËŒÊ”aÊ_Ì¯sÊƒÊèsÉ™/</span></li>, <li id=""mwBg""> <span id=""mwBw"">Hyphenation: </span><span class=""Latn"" id=""mwCA"" lang=""de"">U-Ausâ€§schÃ_sâ€§se</span></li>"
German,U-AusschÃ_sse,Noun,Â m,plural of U-Ausschuss, plural of U-Ausschuss,"<li id=""mwDQ""> <span class=""form-of-definition"" id=""mwDg"">plural of <span class=""form-of-definition-link""><i class=""Latn mention"" lang=""de""><a href=""U-Ausschuss.html"" title=""U-Ausschuss"">U-Ausschuss</a></i></span></span></li>"
German,U-AusschÃ_ssen,Pronunciation,,"IPA: /ËˆuËêËŒÊ”aÊ_Ì¯sÊƒÊèsnÌ©/,  Hyphenation: U-Ausâ€§schÃ_sâ€§sen"," IPA(key): /ËˆuËêËŒÊ”aÊ_Ì¯sÊƒÊèsnÌ©/,  Hyphenation: U-Ausâ€§schÃ_sâ€§sen","<li id=""mwAg""> IPA<sup>(key)</sup><span>:</span><span> </span><span class=""IPA"" lang="""">/ËˆuËêËŒÊ”aÊ_Ì¯sÊƒÊèsnÌ©/</span></li>, <li id=""mwBQ""> <span id=""mwBg"">Hyphenation: </span><span class=""Latn"" id=""mwBw"" lang=""de"">U-Ausâ€§schÃ_sâ€§sen</span></li>"
German,U-AusschÃ_ssen,Noun,Â m,dative plural of U-Ausschuss, dative plural of U-Ausschuss,"<li id=""mwDA""> <span class=""form-of-definition"" id=""mwDQ"">dative plural of <span class=""form-of-definition-link""><i class=""Latn mention"" lang=""de""><a href=""U-Ausschuss.html"" title=""U-Ausschuss"">U-Ausschuss</a></i></span></span></li>"
German,U-Bahn,Etymology,,"Short for Untergrundbahn. But note that the first German underground, in Berlin, was initally called an Unterpflaster-Bahn .","Short for Untergrundbahn. But note that the first German underground, in Berlin, was initally called an Unterpflaster-Bahn (underpavement railway).","<p id=""mwAQ"">Short for <i id=""mwAg""><a href=""Untergrundbahn.html"" id=""mwAw"" title=""Untergrundbahn"">Untergrundbahn</a></i>. But note that the first German underground, in Berlin, was initally called an <i id=""mwBA"">Unterpflaster-Bahn</i> (underpavement railway).</p>"
German,U-Bahn,Pronunciation,,IPA: /ËˆÊ”uËêbaËên/, IPA(key): /ËˆÊ”uËêbaËên/,"<li id=""mwBg""> IPA<sup>(key)</sup><span>:</span><span> </span><span class=""IPA"" lang="""">/ËˆÊ”uËêbaËên/</span></li>"
German,U-Bahn,Noun,"Â f â€_(genitive U-Bahn, plural U-Bahnen)","An underground railway, subway"," An underground railway, subway","<li id=""mwDQ""> An <a href=""underground.html"" id=""mwDg"" title=""underground"">underground</a> <a href=""railway.html"" id=""mwDw"" title=""railway"">railway</a>, <a href=""subway.html"" id=""mwEA"" title=""subway"">subway</a></li>"
German,U-Bahn,Related terms,,S-Bahn, S-Bahn,"<li id=""mwEg""> <span class=""Latn"" id=""mwEw"" lang=""de""><a href=""S-Bahn.html"" title=""S-Bahn"">S-Bahn</a></span></li>"
German,U-Bahn,External links,,U-Bahn in Duden online, U-Bahn in Duden online,"<li id=""mwFQ""> <a class=""external"" href=""http://www.duden.de/rechtschreibung/U_Bahn"" id=""mwFg"">U-Bahn</a><span> in </span><i>Duden</i><span> online</span></li>"
German,U-Bahnen,Noun,Â f,plural of U-Bahn, plural of U-Bahn,"<li id=""mwBQ""> <span class=""form-of-definition"" id=""mwBg"">plural of <span class=""form-of-definition-link""><i class=""Latn mention"" lang=""de""><a href=""U-Bahn.html"" title=""U-Bahn"">U-Bahn</a></i></span></span></li>"
German,U-Boot,Etymology,,Short for Unterseeboot,Short for Unterseeboot,"<p id=""mwAQ"">Short for <i id=""mwAg""><a href=""Unterseeboot.html"" id=""mwAw"" title=""Unterseeboot"">Unterseeboot</a></i></p>"
German,U-Boot,Pronunciation,,audio, audio(file),"<li id=""mwBQ""> <table class=""audiotable"" id=""mwBg"" style=""vertical-align: top; display:inline-block; list-style:none;line-height: 1em; border-collapse:collapse;""><tbody><tr><td class=""unicode audiolink"" style=""padding-right:5px; padding-left: 0;"">audio</td><td class=""audiofile""></td><td class=""audiometa"" style=""font-size: 80%;"">(file)</td></tr></tbody></table></li>"
German,U-Boot,Noun,"Â n â€_(genitive U-Boots or U-Bootes, plural U-Boote)",U-boat or submarine, a U-boat or submarine,"<li id=""mwDA""> a <a href=""U-boat.html"" id=""mwDQ"" title=""U-boat"">U-boat</a> or <a href=""submarine.html"" id=""mwDg"" title=""submarine"">submarine</a></li>"
German,U-Boot,External links,,U-Boot in Duden online, U-Boot in Duden online,"<li id=""mwEQ""> <a class=""external"" href=""http://www.duden.de/rechtschreibung/U_Boot"" id=""mwEg"">U-Boot</a><span> in </span><i>Duden</i><span> online</span></li>"
German,U-Boote,Noun,Â n,plural of U-Boot, plural of U-Boot,"<li id=""mwBQ""> <span class=""form-of-definition"" id=""mwBg"">plural of <span class=""form-of-definition-link""><i class=""Latn mention"" lang=""de""><a href=""U-Boot.html"" title=""U-Boot"">U-Boot</a></i></span></span></li>"
German,U-Booten,Noun,Â n,dative plural of U-Boot, dative plural of U-Boot,"<li id=""mwBQ""> <span class=""form-of-definition"" id=""mwBg"">dative plural of <span class=""form-of-definition-link""><i class=""Latn mention"" lang=""de""><a href=""U-Boot.html"" title=""U-Boot"">U-Boot</a></i></span></span></li>"
German,U-Bootes,Noun,,genitive singular of U-Boot, genitive singular of U-Boot,"<li id=""mwBQ""> <span class=""form-of-definition"" id=""mwBg"">genitive singular of <span class=""form-of-definition-link""><i class=""Latn mention"" lang=""de""><a href=""U-Boot.html"" title=""U-Boot"">U-Boot</a></i></span></span></li>"
German,U-Boots,Noun,,genitive singular of U-Boot, genitive singular of U-Boot,"<li id=""mwBQ""> <span class=""form-of-definition"" id=""mwBg"">genitive singular of <span class=""form-of-definition-link""><i class=""Latn mention"" lang=""de""><a href=""U-Boot.html"" title=""U-Boot"">U-Boot</a></i></span></span></li>"
German,U-Haft,Noun,"Â f â€_(genitive U-Haft, no plural)", Short for Untersuchungshaft â€_, (law enforcement) Short for Untersuchungshaft â€_(â€œremandâ€ù),"<li id=""mwBQ""> <span class=""ib-brac"" id=""mwBg"">(</span><span class=""ib-content"">law enforcement</span><span class=""ib-brac"" id=""mwBw"">)</span> Short for <i class=""Latn mention"" id=""mwCA"" lang=""de""><a href=""Untersuchungshaft.html"" title=""Untersuchungshaft"">Untersuchungshaft</a></i><span> </span><span>â€_</span><span class=""mention-gloss-paren"">(</span><span class=""mention-gloss-double-quote"">â€œ</span><span class=""mention-gloss""><a href=""remand.html"" title=""remand"">remand</a></span><span class=""mention-gloss-double-quote"">â€ù</span><span class=""mention-gloss-paren"" id=""mwCQ"">)</span></li>"
German,U-Haft,External links,,U-Haft in Duden online, U-Haft in Duden online,"<li id=""mwCw""> <a class=""external"" href=""http://www.duden.de/rechtschreibung/U_Haft"" id=""mwDA"">U-Haft</a><span> in </span><i>Duden</i><span> online</span></li>"
English,U-Haul,Etymology,,From the company of the same name.,From the company of the same name.,"<p id=""mwAQ"">From the company of the same name.</p>"
English,U-Haul,Noun, â€_(plural U-Hauls),"A rental vehicle, especially a moving truck."," A rental vehicle, especially a moving truck.","<li id=""mwCA""> A rental vehicle, especially a <a href=""moving_truck.html"" id=""mwCQ"" title=""moving truck"">moving truck</a>.</li>"
English,U-Haul,Derived terms,,"U-Haul lesbian,  U-Haul syndrome"," U-Haul lesbian,  U-Haul syndrome","<li id=""mwDA""> <span class=""Latn"" id=""mwDQ"" lang=""en""><a href=""U-Haul_lesbian.html"" title=""U-Haul lesbian"">U-Haul lesbian</a></span></li>, <li id=""mwDg""> <span class=""Latn"" id=""mwDw"" lang=""en"">U-Haul syndrome</span></li>"
English,U-Haul lesbian,Etymology,,"The expression may have been originated in the early 1980s by comic Lea DeLaria, who joked:","The expression may have been originated in the early 1980s by comic Lea DeLaria, who joked:","<p id=""mwAQ"">The expression may have been originated in the early 1980s by <a href=""comic.html"" id=""mwAg"" title=""comic"">comic</a> <a class=""external"" href=""https://en.wikipedia.org/wiki/Lea%20DeLaria"" id=""mwAw"" title=""wikipedia:Lea DeLaria"">Lea DeLaria</a>, who <a href=""joke.html"" id=""mwBA"" title=""joke"">joked</a>:</p>"
English,U-Haul lesbian,Noun, â€_(plural U-Haul lesbians)," In North American lesbian culture, a lesbian in a relationship that progresses very quickly, for example moving in together after only a short period of time."," (slang, US, derogatory) In North American lesbian culture, a lesbian in a relationship that progresses very quickly, for example moving in together after only a short period of time.","<li id=""mwDw""> <span class=""ib-brac"" id=""mwEA"">(</span><span class=""ib-content"">slang<span class=""ib-comma"">,</span><span> </span><a class=""external"" href=""https://en.wikipedia.org/wiki/United%20States"" title=""w:United States"">US</a><span class=""ib-comma"">,</span><span> </span><a href=""derogatory.html"" title=""derogatory"">derogatory</a></span><span class=""ib-brac"" id=""mwEQ"">)</span> In <a href=""North_American.html"" id=""mwEg"" title=""North American"">North American</a> <a href=""lesbian.html"" id=""mwEw"" title=""lesbian"">lesbian</a> culture, a <a href=""lesbian.html"" id=""mwFA"" title=""lesbian"">lesbian</a> in a <a href=""relationship.html"" id=""mwFQ"" title=""relationship"">relationship</a> that progresses very quickly, for example moving in together after only a short period of time.</li>"
English,U-Haul lesbian,References,," The Advocate, Feb 1st, 2000,   The Stranger Jul 17 - Jul 23, 2003,  Metro Weekly,  Houston Voice,  The Advocate August 19th, 2003"," (etymology) The Advocate, Feb 1st, 2000,  (etymology) The Stranger Jul 17 - Jul 23, 2003,  Metro Weekly,  Houston Voice,  The Advocate August 19th, 2003","<li id=""mwFw""> (etymology) <a class=""external"" href=""http://www.findarticles.com/p/articles/mi_m1589/is_2000_Feb_1/ai_59086784"" id=""mwGA"">The Advocate, Feb 1st, 2000</a></li>, <li id=""mwGQ""> (etymology) <a class=""external"" href=""http://www.thestranger.com/seattle/Content?oid=14967"" id=""mwGg"">The Stranger Jul 17 - Jul 23, 2003</a></li>, <li id=""mwGw""> <a class=""external"" href=""http://www.metroweekly.com/gauge/commentary.php?ak=2225"" id=""mwHA"">Metro Weekly</a></li>, <li id=""mwHQ""> <a class=""external"" href=""http://www.houstonvoice.com/2006/7-8/view/opinion/brown.cfm"" id=""mwHg"">Houston Voice</a></li>, <li id=""mwHw""> <a class=""external"" href=""http://www.findarticles.com/p/articles/mi_m1589/is_2003_August_19/ai_n6179755"" id=""mwIA"">The Advocate August 19th, 2003</a></li>"
English,U-Haul lesbians,Noun,,plural of U-Haul lesbian, plural of U-Haul lesbian,"<li id=""mwBQ""> <span class=""form-of-definition"" id=""mwBg"">plural of <span class=""form-of-definition-link""><i class=""Latn mention"" lang=""en""><a href=""U-Haul_lesbian.html"" title=""U-Haul lesbian"">U-Haul lesbian</a></i></span></span></li>"
English,U-Hauls,Noun,,plural of U-Haul, plural of U-Haul,"<li id=""mwBQ""> <span class=""form-of-definition"" id=""mwBg"">plural of <span class=""form-of-definition-link""><i class=""Latn mention"" lang=""en""><a href=""U-Haul.html"" title=""U-Haul"">U-Haul</a></i></span></span></li>"
English,U-RP,Etymology,,U +â€_ RP,U +â€_ RP,"<p id=""mwAg""><i class=""Latn mention"" id=""mwAw"" lang=""en""><a href=""U.html"" title=""U"">U</a></i><span> +</span><span>â€_</span><span> </span><i class=""Latn mention"" lang=""en""><a href=""RP.html"" title=""RP"">RP</a></i></p>"
English,U-RP,Proper noun,, The form of Received Pronunciation used by the upper classes., (linguistics) The form of Received Pronunciation used by the upper classes.,"<li id=""mwCQ""> <span class=""ib-brac"" id=""mwCg"">(</span><span class=""ib-content"">linguistics</span><span class=""ib-brac"" id=""mwCw"">)</span> The form of <a href=""Received_Pronunciation.html"" id=""mwDA"" title=""Received Pronunciation"">Received Pronunciation</a> used by the <a href=""upper_class.html"" id=""mwDQ"" title=""upper class"">upper classes</a>.</li>"
English,U-bend,Noun, â€_(plural U-bends),"A U-shaped bend, usually the bend in a waste pipe."," A U-shaped bend, usually the bend in a waste pipe.","<li id=""mwBg""> A <a href=""U-shaped.html"" id=""mwBw"" title=""U-shaped"">U-shaped</a> bend, usually the bend in a waste pipe.</li>"
English,U-bends,Noun,,plural of U-bend, plural of U-bend,"<li id=""mwBQ""> <span class=""form-of-definition"" id=""mwBg"">plural of <span class=""form-of-definition-link""><i class=""Latn mention"" lang=""en""><a href=""U-bend.html"" title=""U-bend"">U-bend</a></i></span></span></li>"
Irish,U-bholta,Etymology,,U +â€_ bolta â€_,U +â€_ bolta â€_(â€œboltâ€ù),"<p id=""mwAQ""><i class=""Latn mention"" id=""mwAg"" lang=""ga""><a href=""U.html"" title=""U"">U</a></i><span> +</span><span>â€_</span><span> </span><i class=""Latn mention"" lang=""ga""><a href=""bolta.html"" title=""bolta"">bolta</a></i><span> </span><span>â€_</span><span class=""mention-gloss-paren"">(</span><span class=""mention-gloss-double-quote"">â€œ</span><span class=""mention-gloss"">bolt</span><span class=""mention-gloss-double-quote"">â€ù</span><span class=""mention-gloss-paren"">)</span></p>"
Irish,U-bholta,Noun,"Â m â€_(genitive singular U-bholta, nominative plural U-bholtaÃ_)",U-bolt, U-bolt,"<li id=""mwCA""> <a href=""U-bolt.html"" id=""mwCQ"" title=""U-bolt"">U-bolt</a></li>"
English,U-boat,Etymology,,Calque of  German U-Boot.,Calque of  German U-Boot.,"<p id=""mwAQ"">Calque<span> of  </span><span class=""etyl""><a class=""external"" href=""https://en.wikipedia.org/wiki/German%20language"" title=""w:German language"">German</a></span><span> </span><i class=""Latn mention"" lang=""de""><a href=""U-Boot.html"" title=""U-Boot"">U-Boot</a></i>.</p>"
English,U-boat,Noun, â€_(plural U-boats),"Any German submarine of the First or Second World War, or any Austro-Hungarian submarine of the First World War."," Any German submarine of the First or Second World War, or any Austro-Hungarian submarine of the First World War.","<li id=""mwCQ""> Any German <a href=""submarine.html"" id=""mwCg"" title=""submarine"">submarine</a> of the <a href=""First_World_War.html"" id=""mwCw"" title=""First World War"">First</a> or <a href=""Second_World_War.html"" id=""mwDA"" title=""Second World War"">Second World War</a>, or any <a href=""Austro-Hungarian.html"" id=""mwDQ"" title=""Austro-Hungarian"">Austro-Hungarian</a> submarine of the First World War.</li>"
English,U-boater,Noun, â€_(plural U-boaters),A submariner on a U-boat, A submariner on a U-boat,"<li id=""mwBQ""> A <a href=""submariner.html"" id=""mwBg"" title=""submariner"">submariner</a> on a <a href=""U-boat.html"" id=""mwBw"" title=""U-boat"">U-boat</a></li>"
English,U-boaters,Noun,,plural of U-boater, plural of U-boater,"<li id=""mwBQ""> <span class=""form-of-definition"" id=""mwBg"">plural of <span class=""form-of-definition-link""><i class=""Latn mention"" lang=""en""><a href=""U-boater.html"" title=""U-boater"">U-boater</a></i></span></span></li>"
English,U-boats,Noun,,plural of U-boat, plural of U-boat,"<li id=""mwBQ""> <span class=""form-of-definition"" id=""mwBg"">plural of <span class=""form-of-definition-link""><i class=""Latn mention"" lang=""en""><a href=""U-boat.html"" title=""U-boat"">U-boat</a></i></span></span></li>"
English,U-bolt,Noun, â€_(plural U-bolts),"metal fixing in the shape of the letter U, which has a pin or screw bolt closure which fits across the two ends making a closed clamp"," a metal fixing in the shape of the letter U, which has a pin or screw bolt closure which fits across the two ends making a closed clamp","<li id=""mwBQ""> a metal <a href=""fixing.html"" id=""mwBg"" title=""fixing"">fixing</a> in the shape of the letter U, which has a pin or <a href=""screw.html"" id=""mwBw"" title=""screw"">screw</a> <a href=""bolt.html"" id=""mwCA"" title=""bolt"">bolt</a> closure which fits across the two ends making a closed <a href=""clamp.html"" id=""mwCQ"" title=""clamp"">clamp</a></li>"
English,U-bolts,Noun,,plural of U-bolt, plural of U-bolt,"<li id=""mwBQ""> <span class=""form-of-definition"" id=""mwBg"">plural of <span class=""form-of-definition-link""><i class=""Latn mention"" lang=""en""><a href=""U-bolt.html"" title=""U-bolt"">U-bolt</a></i></span></span></li>"
Irish,U-chruthach,Etymology,,From U +â€_ -chruthach â€_.,From U +â€_ -chruthach â€_(â€œ-shapedâ€ù).,"<p id=""mwAQ"">From <i class=""Latn mention"" id=""mwAg"" lang=""ga""><a href=""U.html"" title=""U"">U</a></i><span> +</span><span>â€_</span><span> </span><i class=""Latn mention"" lang=""ga""><a href=""-chruthach.html"" title=""-chruthach"">-chruthach</a></i><span> </span><span>â€_</span><span class=""mention-gloss-paren"">(</span><span class=""mention-gloss-double-quote"">â€œ</span><span class=""mention-gloss"">-shaped</span><span class=""mention-gloss-double-quote"">â€ù</span><span class=""mention-gloss-paren"">)</span>.</p>"
