headword_lang,head,pos,additional_pos,trans(no paren),trans(with paren),original_html
English,Q-balls,Noun,,plural of Q-ball, plural of Q-ball,"<li id=""mwBQ""> <span class=""form-of-definition"" id=""mwBg"">plural of <span class=""form-of-definition-link""><i class=""Latn mention"" lang=""en""><a href=""Q-ball.html"" title=""Q-ball"">Q-ball</a></i></span></span></li>"
English,Q-boat,Noun, _—_(plural Q-boats),Synonym of Q-ship, Synonym of Q-ship,"<li id=""mwBQ""> <span class=""form-of-definition"" id=""mwBg"">Synonym of <span class=""form-of-definition-link""><i class=""Latn mention"" lang=""en""><a href=""Q-ship.html"" title=""Q-ship"">Q-ship</a></i></span></span></li>"
English,Q-boats,Noun,,plural of Q-boat, plural of Q-boat,"<li id=""mwBQ""> <span class=""form-of-definition"" id=""mwBg"">plural of <span class=""form-of-definition-link""><i class=""Latn mention"" lang=""en""><a href=""Q-boat.html"" title=""Q-boat"">Q-boat</a></i></span></span></li>"
English,Q-car,Noun, _—_(plural Q-cars), A high-performance car with an unassuming exterior.," (Britain, slang) A high-performance car with an unassuming exterior.","<li id=""mwBQ""> <span class=""ib-brac"" id=""mwBg"">(</span><span class=""ib-content""><a class=""external"" href=""https://en.wikipedia.org/wiki/Britain"" title=""w:Britain"">Britain</a><span class=""ib-comma"">,</span><span> </span>slang</span><span class=""ib-brac"" id=""mwBw"">)</span> A high-performance <a href=""car.html"" id=""mwCA"" title=""car"">car</a> with an <a href=""unassuming.html"" id=""mwCQ"" title=""unassuming"">unassuming</a> <a href=""exterior.html"" id=""mwCg"" title=""exterior"">exterior</a>.</li>"
English,Q-car,Noun, _—_(plural Q-cars), An unmarked police car.," (Australia, informal, dated) An unmarked police car.","<li id=""mwCw""> <span class=""ib-brac"" id=""mwDA"">(</span><span class=""ib-content""><a class=""external"" href=""https://en.wikipedia.org/wiki/Australia"" title=""w:Australia"">Australia</a><span class=""ib-comma"">,</span><span> </span>informal<span class=""ib-comma"">,</span><span> </span>dated</span><span class=""ib-brac"" id=""mwDQ"">)</span> An unmarked police car.</li>"
English,Q-car,Synonyms,,: sleeper , (high-performance car): sleeper (US),"<li id=""mwDw""> <span class=""ib-brac"" id=""mwEA""><span class=""qualifier-brac"">(</span></span><span class=""ib-content""><span class=""qualifier-content"">high-performance car</span></span><span class=""ib-brac""><span class=""qualifier-brac"">)</span></span><span class=""ib-colon"" id=""mwEQ""><span class=""sense-qualifier-colon"">:</span></span> <span class=""Latn"" id=""mwEg"" lang=""en""><a href=""sleeper.html"" title=""sleeper"">sleeper</a></span> (US)</li>"
English,Q-carbon,Etymology,,"The ""Q"" in 'Q-Carbon' comes from quenched, due to the method of creating Q-carbon, by melting a layer of amorphous carbon atop an appropriate substrate and quickly cooling  it.","The ""Q"" in 'Q-Carbon' comes from quenched, due to the method of creating Q-carbon, by melting a layer of amorphous carbon atop an appropriate substrate and quickly cooling (quenching) it.","<p id=""mwBA"">The ""Q"" in 'Q-Carbon' comes from <a href=""quenched.html"" id=""mwBQ"" title=""quenched"">quenched</a>, due to the method of creating Q-carbon, by melting a layer of amorphous carbon atop an appropriate substrate and quickly cooling (<a href=""quenching.html"" id=""mwBg"" title=""quenching"">quenching</a>) it.</p>"
English,Q-carbon,Noun, _—_(uncountable)," an allotrope of carbon which is superhard, ferromagnetic and electroconductive"," (chemistry) an allotrope of carbon which is superhard, ferromagnetic and electroconductive","<li id=""mwCw""> <span class=""ib-brac"" id=""mwDA"">(</span><span class=""ib-content"">chemistry</span><span class=""ib-brac"" id=""mwDQ"">)</span> an <a href=""allotrope.html"" id=""mwDg"" title=""allotrope"">allotrope</a> of <a href=""carbon.html"" id=""mwDw"" title=""carbon"">carbon</a> which is <a href=""superhard.html"" id=""mwEA"" title=""superhard"">superhard</a>, <a href=""ferromagnetic.html"" id=""mwEQ"" title=""ferromagnetic"">ferromagnetic</a> and <a href=""electroconductive.html"" id=""mwEg"" title=""electroconductive"">electroconductive</a></li>"
English,Q-carbon,Coordinate terms,,"carbon nanotube,  fullerene,  graphene,  graphite,  diamond,  amorphous carbon"," carbon nanotube,  fullerene,  graphene,  graphite,  diamond,  amorphous carbon","<li id=""mwFA""> <span class=""Latn"" id=""mwFQ"" lang=""en""><a href=""carbon_nanotube.html"" title=""carbon nanotube"">carbon nanotube</a></span></li>, <li id=""mwFg""> <span class=""Latn"" id=""mwFw"" lang=""en""><a href=""fullerene.html"" title=""fullerene"">fullerene</a></span></li>, <li id=""mwGA""> <span class=""Latn"" id=""mwGQ"" lang=""en""><a href=""graphene.html"" title=""graphene"">graphene</a></span></li>, <li id=""mwGg""> <span class=""Latn"" id=""mwGw"" lang=""en""><a href=""graphite.html"" title=""graphite"">graphite</a></span></li>, <li id=""mwHA""> <span class=""Latn"" id=""mwHQ"" lang=""en""><a href=""diamond.html"" title=""diamond"">diamond</a></span></li>, <li id=""mwHg""> <span class=""Latn"" id=""mwHw"" lang=""en"">amorphous carbon</span></li>"
English,Q-cars,Noun,,plural of Q-car, plural of Q-car,"<li id=""mwBQ""> <span class=""form-of-definition"" id=""mwBg"">plural of <span class=""form-of-definition-link""><i class=""Latn mention"" lang=""en""><a href=""Q-car.html"" title=""Q-car"">Q-car</a></i></span></span></li>"
English,Q-code,Noun, _—_(plural Q-codes),Alternative spelling of Q code, Alternative spelling of Q code,"<li id=""mwBg""> <span class=""form-of-definition"" id=""mwBw"">Alternative spelling of <span class=""form-of-definition-link""><i class=""Latn mention"" lang=""en""><a href=""Q_code.html"" title=""Q code"">Q code</a></i></span></span></li>"
English,Q-codes,Noun,,plural of Q-code, plural of Q-code,"<li id=""mwBg""> <span class=""form-of-definition"" id=""mwBw"">plural of <span class=""form-of-definition-link""><i class=""Latn mention"" lang=""en""><a href=""Q-code.html"" title=""Q-code"">Q-code</a></i></span></span></li>"
Finnish,Q-kuume,Noun,, Q fever , (pathology) Q fever (infectious disease caused by the bacterium Coxiella burnetii),"<li id=""mwBQ""> <span class=""ib-brac"" id=""mwBg"">(</span><span class=""ib-content"">pathology</span><span class=""ib-brac"" id=""mwBw"">)</span> <a href=""Q_fever.html"" id=""mwCA"" title=""Q fever"">Q fever</a> <span class=""gloss-brac"" id=""mwCQ"">(</span><span class=""gloss-content"">infectious disease caused by the bacterium <i>Coxiella burnetii</i></span><span class=""gloss-brac"" id=""mwCg"">)</span></li>"
English,Q-ship,Etymology,,"Short for Queenstown in Ireland, the home port of the British Q-ships.","Short for Queenstown in Ireland, the home port of the British Q-ships.","<p id=""mwAg"">Short for <i class=""Latn mention"" id=""mwAw"" lang=""en""><a href=""Queenstown.html"" title=""Queenstown"">Queenstown</a></i> in Ireland, the home port of the British Q-ships.</p>"
English,Q-ship,Noun, _—_(plural Q-ships)," A merchant ship with concealed weaponry, designed to lure submarines into making surface attacks."," (military) A merchant ship with concealed weaponry, designed to lure submarines into making surface attacks.","<li id=""mwCA""> <span class=""ib-brac"" id=""mwCQ"">(</span><span class=""ib-content"">military</span><span class=""ib-brac"" id=""mwCg"">)</span> A <a href=""merchant_ship.html"" id=""mwCw"" title=""merchant ship"">merchant ship</a> with <a href=""concealed.html"" id=""mwDA"" title=""concealed"">concealed</a> <a href=""weaponry.html"" id=""mwDQ"" title=""weaponry"">weaponry</a>, designed to <a href=""lure.html"" id=""mwDg"" title=""lure"">lure</a> <a href=""submarine.html"" id=""mwDw"" title=""submarine"">submarines</a> into making <a href=""surface.html"" id=""mwEA"" title=""surface"">surface</a> <a href=""attack.html"" id=""mwEQ"" title=""attack"">attacks</a>.</li>"
English,Q-ship,Synonyms,,Q-boat, Q-boat,"<li id=""mwEw""> <a href=""Q-boat.html"" id=""mwFA"" title=""Q-boat"">Q-boat</a></li>"
English,Q-ships,Noun,,plural of Q-ship, plural of Q-ship,"<li id=""mwBQ""> <span class=""form-of-definition"" id=""mwBg"">plural of <span class=""form-of-definition-link""><i class=""Latn mention"" lang=""en""><a href=""Q-ship.html"" title=""Q-ship"">Q-ship</a></i></span></span></li>"
English,Q-switching,Noun, _—_(uncountable),"A technique by which a laser can be made to produce a pulsed output beam, with much higher power in each pulse than would be produced when operating as a continuous wave."," A technique by which a laser can be made to produce a pulsed output beam, with much higher power in each pulse than would be produced when operating as a continuous wave.","<li id=""mwBg""> A <a href=""technique.html"" id=""mwBw"" title=""technique"">technique</a> by which a <a href=""laser.html"" id=""mwCA"" title=""laser"">laser</a> can be made to produce a <a href=""pulsed.html"" id=""mwCQ"" title=""pulsed"">pulsed</a> <a href=""output.html"" id=""mwCg"" title=""output"">output</a> <a href=""beam.html"" id=""mwCw"" title=""beam"">beam</a>, with much higher power in each pulse than would be produced when operating as a continuous <a href=""wave.html"" id=""mwDA"" title=""wave"">wave</a>.</li>"
English,Q-switching,Related terms,,Q-switched, Q-switched,"<li id=""mwDg""> <span class=""Latn"" id=""mwDw"" lang=""en"">Q-switched</span></li>"
English,Q-tip,Etymology,,Coined  by Unilever; see tip.,"Coined (and registered, as ""Q-TIPS"", as a trademark) by Unilever; see tip.","<p id=""mwAQ"">Coined (and registered, as ""Q-TIPS"", as a trademark) by <a class=""external"" href=""https://en.wikipedia.org/wiki/Unilever"" id=""mwAg"" title=""wikipedia:Unilever"">Unilever</a>; see <i class=""Latn mention"" id=""mwAw"" lang=""en""><a href=""tip.html"" title=""tip"">tip</a></i>.</p>"
English,Q-tip,Noun, _—_(plural Q-tips),"A cotton swab consisting of short, thin, flexible plastic rods with a swab of cotton wool /cotton  at each end; they are typically used for cleaning the ears."," A cotton swab consisting of short, thin, flexible plastic rods with a swab of cotton wool (UK)/cotton (US) at each end; they are typically used for cleaning the ears.","<li id=""mwCQ""> A <a href=""cotton_swab.html"" id=""mwCg"" title=""cotton swab"">cotton swab</a> consisting of short, thin, flexible plastic rods with a swab of <a href=""cotton_wool.html"" id=""mwCw"" title=""cotton wool"">cotton wool</a> (<i id=""mwDA"">UK</i>)/<a href=""cotton.html"" id=""mwDQ"" title=""cotton"">cotton</a> (<i id=""mwDg"">US</i>) at each end; they are typically used for cleaning the ears.</li>"
English,Q-tip,Synonyms,,cotton wool bud , cotton wool bud (UK),"<li id=""mwEA""> <span class=""Latn"" id=""mwEQ"" lang=""en""><a href=""cotton_wool_bud.html"" title=""cotton wool bud"">cotton wool bud</a></span> <span class=""ib-brac"" id=""mwEg""><span class=""qualifier-brac"">(</span></span><span class=""ib-content""><span class=""qualifier-content"">UK</span></span><span class=""ib-brac"" id=""mwEw""><span class=""qualifier-brac"">)</span></span></li>"
English,Q-tips,Noun,,plural of Q-tip, plural of Q-tip,"<li id=""mwBQ""> <span class=""form-of-definition"" id=""mwBg"">plural of <span class=""form-of-definition-link""><i class=""Latn mention"" lang=""en""><a href=""Q-tip.html"" title=""Q-tip"">Q-tip</a></i></span></span></li>"
English,Q-value,Etymology,,From communication value; coined by Dutch sociologist Abram de Swaan.,From communication value; coined by Dutch sociologist Abram de Swaan.,"<p id=""mwAQ"">From <i class=""Latn mention"" id=""mwAg"" lang=""en""><a href=""communication.html"" title=""communication"">communication</a></i> <i class=""Latn mention"" id=""mwAw"" lang=""en""><a href=""value.html"" title=""value"">value</a></i>; coined by Dutch sociologist <a class=""external"" href=""https://en.wikipedia.org/wiki/Abram%20de%20Swaan"" id=""mwBA"" title=""wikipedia:Abram de Swaan"">Abram de Swaan</a>.</p>"
English,Q-value,Noun, _—_(plural Q-values),"A measure of the communicative utility of a human language, computed as the product of the language's centrality and its prevalence."," A measure of the communicative utility of a human language, computed as the product of the language's centrality and its prevalence.","<li id=""mwCQ""> A <a href=""measure.html"" id=""mwCg"" title=""measure"">measure</a> of the <a href=""communicative.html"" id=""mwCw"" title=""communicative"">communicative</a> <a href=""utility.html"" id=""mwDA"" title=""utility"">utility</a> of a human <a href=""language.html"" id=""mwDQ"" title=""language"">language</a>, computed as the <a href=""product.html"" id=""mwDg"" title=""product"">product</a> of the language's <a href=""centrality.html"" id=""mwDw"" title=""centrality"">centrality</a> and its <a href=""prevalence.html"" id=""mwEA"" title=""prevalence"">prevalence</a>.</li>"
English,Q-values,Noun,,plural of Q-value, plural of Q-value,"<li id=""mwBQ""> <span class=""form-of-definition"" id=""mwBg"">plural of <span class=""form-of-definition-link""><i class=""Latn mention"" lang=""en""><a href=""Q-value.html"" title=""Q-value"">Q-value</a></i></span></span></li>"
English,Q-wave,Noun, _—_(plural Q-waves)," A seismic surface shock wave, which is also known as a Love wave, with a lateral horizontal movement perpendicular to the direction of propagation."," (geology) A seismic surface shock wave, which is also known as a Love wave, with a lateral horizontal movement perpendicular to the direction of propagation.","<li id=""mwBQ""> <span class=""ib-brac"" id=""mwBg"">(</span><span class=""ib-content"">geology</span><span class=""ib-brac"" id=""mwBw"">)</span> A <a href=""seismic.html"" id=""mwCA"" title=""seismic"">seismic</a> surface shock wave, which is also known as a <a href=""Love_wave.html"" id=""mwCQ"" title=""Love wave"">Love wave</a>, with a lateral horizontal movement <a href=""perpendicular.html"" id=""mwCg"" title=""perpendicular"">perpendicular</a> to the direction of <a href=""propagation.html"" id=""mwCw"" title=""propagation"">propagation</a>.</li>"
English,Q-waves,Noun,,plural of Q-wave, plural of Q-wave,"<li id=""mwBQ""> <span class=""form-of-definition"" id=""mwBg"">plural of <span class=""form-of-definition-link""><i class=""Latn mention"" lang=""en""><a href=""Q-wave.html"" title=""Q-wave"">Q-wave</a></i></span></span></li>"
Latin,Q.,Proper noun,Î_m _—_(indeclinable),Praenominal abbreviation of Quintus., Praenominal abbreviation of Quintus.,"<li id=""mwBg""> <span class=""use-with-mention"" id=""mwBw""><span class=""Latn"" lang=""en""><a href=""praenomen.html"" title=""praenomen"">Praenominal</a></span> abbreviation of</span><span> </span><b><span class=""Latn"" lang=""la""><a href=""Quintus.html"" title=""Quintus"">Quintus</a></span></b><span class=""use-with-mention"">.</span></li>"
English,Q.931,Abbreviation,,An ISDN connection protocol somewhat similar to TCP, An ISDN connection protocol somewhat similar to TCP,"<li id=""mwBw""> An <a href=""ISDN.html"" id=""mwCA"" title=""ISDN"">ISDN</a> <a href=""connection.html"" id=""mwCQ"" title=""connection"">connection</a> <a href=""protocol.html"" id=""mwCg"" title=""protocol"">protocol</a> somewhat similar to <a href=""TCP.html"" id=""mwCw"" title=""TCP"">TCP</a></li>"
English,Q.C.,Abbreviation,,Alternative form of QC, Alternative form of QC,"<li id=""mwBw""> <span class=""form-of-definition"" id=""mwCA"">Alternative form of <span class=""form-of-definition-link""><i class=""Latn mention"" lang=""en""><a href=""QC.html"" title=""QC"">QC</a></i></span></span></li>"
English,Q.E.D.,Phrase,,Alternative form of QED , Alternative form of QED (quod erat demonstradum),"<li id=""mwBg""> <span class=""form-of-definition"" id=""mwBw"">Alternative form of <span class=""form-of-definition-link""><i class=""Latn mention"" lang=""en""><a href=""QED.html"" title=""QED"">QED</a></i></span></span> <span class=""gloss-brac"" id=""mwCA"">(</span><span class=""gloss-content"">quod erat demonstradum</span><span class=""gloss-brac"" id=""mwCQ"">)</span></li>"
English,Q.E.D.,Noun, _—_(uncountable),Alternative form of QED , Alternative form of QED (quantum electrodynamics),"<li id=""mwDg""> <span class=""form-of-definition"" id=""mwDw"">Alternative form of <span class=""form-of-definition-link""><i class=""Latn mention"" lang=""en""><a href=""QED.html"" title=""QED"">QED</a></i></span></span> <span class=""gloss-brac"" id=""mwEA"">(</span><span class=""gloss-content"">quantum electrodynamics</span><span class=""gloss-brac"" id=""mwEQ"">)</span></li>"
English,Q. C.,Abbreviation,,Alternative form of QC, Alternative form of QC,"<li id=""mwBw""> <span class=""form-of-definition"" id=""mwCA"">Alternative form of <span class=""form-of-definition-link""><i class=""Latn mention"" lang=""en""><a href=""QC.html"" title=""QC"">QC</a></i></span></span></li>"
Translingual,Q,Letter,,"The seventeenth letter of the basic modern Latin alphabet. Queen, Qualen, Qatarien"," The seventeenth letter of the basic modern Latin alphabet. Queen, Qualen, Qatarien","<li id=""mwCg""> The seventeenth letter of the basic modern Latin alphabet.<dl id=""mwDA""><dd id=""mwDQ""> <i id=""mwDg""><b id=""mwDw"">Q</b>ueen<!--English-->, <b id=""mwEA"">Q</b>ualen<!--German-->, <b id=""mwEQ"">Q</b>atarien</i><!--French--></dd></dl></li>"
Translingual,Q,Symbol,, IUPAC 1-letter abbreviation for glutamine, (biochemistry) IUPAC 1-letter abbreviation for glutamine,"<li id=""mwFw""> <span class=""ib-brac"" id=""mwGA"">(</span><span class=""ib-content"">biochemistry</span><span class=""ib-brac"" id=""mwGQ"">)</span> <a href=""IUPAC.html"" id=""mwGg"" title=""IUPAC"">IUPAC</a> 1-letter abbreviation for <a href=""glutamine.html"" id=""mwGw"" title=""glutamine"">glutamine</a></li>"
Translingual,Q,Symbol,, electric charge, (physics) electric charge,"<li id=""mwHA""> <span class=""ib-brac"" id=""mwHQ"">(</span><span class=""ib-content"">physics</span><span class=""ib-brac"" id=""mwHg"">)</span> <a href=""electric_charge.html"" id=""mwHw"" title=""electric charge"">electric charge</a></li>"
Translingual,Q,Symbol,, Robinson arithmetic," (logic, mathematics) Robinson arithmetic","<li id=""mwIA""> <span class=""ib-brac"" id=""mwIQ"">(</span><span class=""ib-content"">logic<span class=""ib-comma"">,</span><span> </span>mathematics</span><span class=""ib-brac"" id=""mwIg"">)</span> <a class=""external"" href=""https://en.wikipedia.org/wiki/Robinson%20arithmetic"" id=""mwIw"" title=""w:Robinson arithmetic"">Robinson arithmetic</a></li>"
Translingual,QA,Symbol,,The ISO 3166-1 two-letter  code for Qatar., The ISO 3166-1 two-letter (alpha-2) code for Qatar.,"<li id=""mwBg""> The <a href=""ISO.html"" id=""mwBw"" title=""ISO"">ISO</a> 3166-1 two-letter (alpha-2) code for <a href=""Qatar.html"" id=""mwCA"" title=""Qatar"">Qatar</a>.</li>"
English,QAI,Initialism,, Initialism of Quality Assurance International. ," (India, space science) Initialism of Quality Assurance International. (U.S.-based international organic certification company)","<li id=""mwBg""> <span class=""ib-brac"" id=""mwBw"">(</span><span class=""ib-content""><a class=""external"" href=""https://en.wikipedia.org/wiki/India"" title=""w:India"">India</a><span class=""ib-comma"">,</span><span> </span>space science</span><span class=""ib-brac"" id=""mwCA"">)</span> <span class=""use-with-mention"" id=""mwCQ"">Initialism of <i class=""Latn mention"" lang=""en""><a href=""quality.html"" title=""quality"">Quality</a> <a href=""assurance.html"" title=""assurance"">Assurance</a> <a href=""international.html"" title=""international"">International</a></i></span><span>.</span> <span class=""gloss-brac"" id=""mwCw"">(</span><span class=""gloss-content"">U.S.-based international organic certification company</span><span class=""gloss-brac"" id=""mwDA"">)</span></li>"
English,QAI,References,, QAI on  Wikipedia.Wikipedia ,  QAI on  Wikipedia.Wikipedia ,"<li id=""mwDg""> <span> </span><b class=""Latn"" lang=""en""><a class=""external"" href=""https://en.wikipedia.org/wiki/QAI"" title=""w:QAI"">QAI</a></b><span> on  Wikipedia.</span><span class=""interProject"" id=""mwEA""><a class=""external"" href=""https://en.wikipedia.org/wiki/QAI"" title=""w:QAI"">Wikipedia </a></span></li>"
English,QALY,Noun, _—_(plural QALYs),Initialism of quality-adjusted life year., Initialism of quality-adjusted life year.,"<li id=""mwBw""> <span class=""use-with-mention"" id=""mwCA"">Initialism of <i class=""Latn mention"" lang=""en""><a href=""quality-adjusted_life_year.html"" title=""quality-adjusted life year"">quality-adjusted life year</a></i></span><span>.</span></li>"
English,QALYs,Noun,,plural of QALY, plural of QALY,"<li id=""mwBQ""> <span class=""form-of-definition"" id=""mwBg"">plural of <span class=""form-of-definition-link""><i class=""Latn mention"" lang=""en""><a href=""QALY.html"" title=""QALY"">QALY</a></i></span></span></li>"
